"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Vehicle.Year"
"3",1356906515,"GFM1421","NY","PAS","09/18/1971",40,"SDN","MAZDA","X",33,33,33,938472,"0033","0000","0914P","","NY","F","4165","BROADWAY","BBBBBBB","ALL","ALL","BLK",2010
"9",1359914924,"68091JZ","NY","COM","07/22/1973",46,"DELV","TOYOT","P",10,10,401,926246,"0401","0000","1216P","","NY","O","48","7 AVE","BBBBBBB","ALL","ALL","WH",2010
"11",1361272259,"P4ZO671","99","999","09/22/1973",21,"SDN","BMW","P",14,14,14,946558,"0014","0000","0207A","","NY","O","205","W 39 ST","BBBBBBY","0200A","0600","BK",0
"15",1255986920,"49916MD","NY","COM","10/30/1973",59,"FEDE","GMC","K",1,1,1,160203,"0001","0000","0138P","","NY","F","","SOUTH STREET","BBBBBBB","ALL","ALL","WHITE",1995
"21",1366144776,"95027JM","NY","COM","04/15/1977",98,"VAN","FORD","X",17,17,17,924168,"0017","0000","0635P","","NY","F","545","1 AVE","BBBBBBB","ALL","ALL","BRN",1997
"37",1360988166,"78302MB","NY","COM","01/01/2000",45,"DELV","","P",17,17,17,940140,"0017","0000","1009A","","NY","O","875","3RD AVE","BBBBBBB","0  :","0  :","GREEN",2011
"48",1358921623,"18169PC","NY","COM","01/07/2000",49,"SOM","","P",15,15,401,918915,"0401","0000","0825A","","NY","F","1375","6 AVE","BBBBBBB","ALL","ALL","WT",0
"49",1358921635,"T486834","99","COM","01/07/2000",47,"TRLR","FL","P",15,15,401,918915,"0401","0000","0825A","","NY","F","1375","6 AVE","BBBBBBB","ALL","ALL","BLK",0
"51",1358575332,"170XSK","CT","PAS","01/08/2000",16,"SDN","VOLKS","P",19,19,19,934644,"0019","0000","0601P","","NY","F","244","EAST 84","YYYYYYB","0700A","0700P","BLACK",0
"59",1357262930,"C91AZL","NJ","PAS","01/14/2000",14,"SDN","HYUND","P",13,13,13,949322,"0013","0000","1005P","","NY","O","40","W 22","BBBBBBB","ALL","ALL","BLUE",0
"61",1358881613,"GGT4395","NY","PAS","01/14/2000",46,"SUBN","BMW","P",20,20,20,933109,"0020","0000","0903P","","NY","O","236","COLOMBUS AVE","BBBBBBB","ALL","ALL","SILVR",2014
"62",1353906723,"XE320U","NJ","PAS","01/15/2000",46,"DELV","MITSU","X",NA,0,401,917677,"0401","0000","0432P","","NY","O","13","E 62 ST","BBBBBBB","ALL","ALL","WH",0
"64",1365725388,"96394MB","NY","COM","01/17/2000",46,"VAN","CHEVR","P",23,23,23,945266,"0023","0000","0200P","","NY","F","1590","MADISON AVE","BBBBBBB","ALL","ALL","WHITE",2011
"69",1365696730,"157ZF8","MA","PAS","01/28/2000",20,"SUBN","ME/BE","P",34,34,34,916495,"0034","0000","0119A","","NY","F","416","W 206 ST","BBBBBBB","ALL","ALL","BLK",0
"70",1360992250,"BE11534","NJ","PAS","01/28/2000",46,"TRLR","MICKE","P",17,17,17,937077,"0017","0000","1211P","","NY","F","820","2ND AVE","BBBBBBB","ALL","ALL","BLUE",2013
"72",1359151163,"YZC9134","PA","PAS","01/29/2000",20,"DELV","ISUZU","P",18,18,18,896040,"0018","0000","1155A","","NY","F","100","W 58 ST","YBYYBYB","0700A","0700P","WHITE",0
"73",1360980374,"632741M","99","COM","01/30/2000",74,"DELV","GMC","P",17,17,17,949636,"0017","0000","0552P","","NY","F","230","E 44 ST","BBBBBBB","0  :","0  :","BROWN",1986
"74",1366092703,"30064JJ","NY","COM","01/31/2000",47,"VAN","FORD","P",17,17,401,918915,"0401","0000","1155A","","NY","F","1071","6 AVE","BBBBBBB","ALL","ALL","WT",2004
"80",1358882885,"62705JM","NY","COM","02/07/2000",46,"DELV","GMC","P",20,20,20,949579,"0020","0000","0525P","","NY","F","170","CENTRAL PARK WEST","BBBBBBB","ALL","ALL","BROWN",1990
"82",1361606198,"ZXP37T","NJ","PAS","02/09/2000",14,"SDN","ROVER","P",9,9,9,906379,"0009","0000","0100A","","NY","F","74","EAST 13TH ST","BBBBBBB","ALL","ALL","BLACK",0
"83",1366910096,"EEV7494","NY","PAS","02/11/2000",19,"SUBN","HONDA","P",23,23,23,935942,"0023","0000","0157A","","NY","F","55","E 104 ST REAR OF","BBBBBBB","0  :","0  :","BLK",2005
"84",1358315577,"54SB72","PA","PAS","02/11/2000",51,"MC","HONDA","P",32,32,32,941136,"0032","0000","1026A","","NY","F","88","BRADHURST AVE","BBBBBBB","0  :","0  :","BLK",2001
"89",1366109569,"63610JM","NY","COM","02/14/2000",46,"TRLR","GMC","X",17,17,401,946951,"0401","0000","0326A","","NY","F","985","LEXINGTON AVE","BBBBBBB","ALL","ALL","BROWN",1988
"91",1357261044,"56371JA","NY","COM","02/14/2000",20,"VAN","FORD","P",13,13,13,949611,"0013","0000","0518P","","NY","F","6","E 16TH ST","BBBBBBB","0  :","0  :","WHITE",2010
"93",1366561053,"CBK8251","NY","PAS","02/18/2000",14,"SDN","HONDA","P",14,14,14,951335,"0014","0000","1010P","","NY","F","68","W 34 ST","YYYYYYY","1000P","0700A","GREY",2001
"94",1354031167,"45017PA","NY","COM","02/19/2000",16,"DELV","INTER","P",18,18,420,899471,"0420","0000","0535A","","NY","F","545","W 45 ST","YYYYYBB","0100A","0700P","BLUE",1990
"97",1366522965,"46519PA","NY","COM","02/21/2000",10,"DELV","FRUEH","X",14,14,14,942248,"0014","0000","0805A","","NY","F","440","9TH AVE","BBBBBBB","ALL","ALL","WH",0
"99",1360470682,"FWJ3464","NY","PAS","02/22/2000",40,"SDN","MAZDA","P",1,1,1,923120,"0001","0000","0640A","","NY","F","","WEST ST","BBBBBBB","ALL","ALL","BLK",2012
"100",1360469230,"52962MD","NY","COM","02/23/2000",51,"VAN","FREI","P",1,1,1,920519,"0001","0000","1002A","","NY","F","12","JOHN ST","BBBBBBB","ALL","ALL","BK",2014
"102",1353813228,"63540JM","NY","COM","02/25/2000",46,"DELV","GMC","P",NA,0,420,886342,"0420","0000","1015A","","NY","F","115","CENTRAL PARK WEST","BBBBBBB","0  :","0  :","BR",0
"104",1369081194,"EYB2641","NY","PAS","03/02/2000",46,"SDN","NISSA","P",25,25,25,905798,"0025","0000","0646P","","NY","F","160","E 116 ST","BBBBBBB","ALL","ALL","SILVE",2012
"110",1366080701,"25255JZ","NY","COM","03/08/2000",46,"DELV","CHEVR","P",7,7,7,928716,"0007","0000","1043A","","NY","","275","CHERRY ST","BBBBBBB","ALL","ALL","WH",0
"111",1363243652,"58857JX","NY","COM","03/10/2000",51,"UH","FRUEH","P",NA,0,401,927373,"0401","0000","0914A","","NY","F","95","PEARL ST","BBBBBBB","0  :","0  :","GN",2008
"117",1366570285,"L42CWM","NJ","PAS","03/16/2000",14,"SUBN","GMC","P",14,14,14,926770,"0014","0000","0109A","","NY","F","1440","BWAY","BBBBBBB","ALL","ALL","RED",0
"118",1323303947,"20065PC","99","999","03/17/2000",46,"","VAN H","P",25,25,5,899650,"0005","0000","0120P","","NY","F","17","DIVISION","BBBBBBB","ALL","ALL","WH",2009
"124",1366932687,"26556MD","NY","COM","03/25/2000",20,"P-U","FORD","P",19,19,19,942202,"0019","0000","1200P","","NY","F","1045","5 AVE","BBBBBBB","ALL","ALL","WH",2003
"132",1366531449,"72307MA","NY","COM","04/05/2000",14,"SUBN","CHEVR","X",14,14,161,953863,"0161","0000","0250P","","NY","F","330","W 43 STREET","BBBBBBB","ALL","ALL","WHITE",2011
"133",1366538389,"28617JJ","NY","COM","04/09/2000",14,"VAN","CHEVR","P",14,14,161,954778,"0161","0000","0236P","","NY","F","222","W 45 ST","BBBBBBB","ALL","ALL","",0
"138",1366107172,"PT7771W","PA","PAS","04/18/2000",46,"DELV","","X",NA,0,405,906048,"0405","0000","1159A","","NY","O","510","6TH AVE","BBBBBBB","ALL","ALL","WHITE",0
"139",1365553115,"AKUP80","FL","PAS","04/22/2000",17,"SDN","ROLLS","P",18,18,18,926609,"0018","0000","1140A","","NY","F","1","CPS","BBBBBBB","ALL","ALL","SILVE",0
"140",1367941155,"40515JT","NY","COM","04/23/2000",19,"VAN","MERCU","P",18,18,406,926583,"0406","0000","0117P","","NY","F","586","5TH AVE","BBBBBBB","ALL","ALL","GRN",2004
"142",1363267309,"52964MD","NY","COM","04/24/2000",19,"VAN","FRUEH","P",1,1,406,924348,"0406","0000","0201P","","NY","F","315","BROADWAY","BBBBBBB","ALL","ALL","BRN",2014
"143",1367615616,"91660MC","NY","COM","04/25/2000",46,"VAN","FRUEH","P",25,25,25,951684,"0025","0000","0405P","","NY","F","1831","MADISON","BBBBBBB","ALL","ALL","BROWN",0
"144",1367938168,"2028692","IN","PAS","04/25/2000",46,"DELV","FRUEH","P",14,14,401,906357,"0401","0000","0940A","","NY","F","291","7TH AV","BBBBBBB","ALL","ALL","BLACK",0
"145",1358613916,"96170MA","NY","PAS","04/25/2000",46,"","RAMA","P",34,34,34,923989,"0034","0000","1247P","","NY","F","4500","BWAY","BBBBBBB","0  :","0  :","TEAL",0
"147",1365970206,"XAUN24","NJ","PAS","04/25/2000",50,"VAN","FORD","P",NA,0,1,937544,"0001","0000","1025A","","NY","O","","S/S CANAL ST","BBBBBBB","ALL","ALL","WH",2013
"149",1365712357,"EUJ4927","NY","PAS","04/27/2000",46,"SUBN","MITSU","P",32,32,32,950919,"0032","0000","0124A","","NY","F","115","W 141 ST","BBBBBBB","ALL","ALL","BLACK",2014
"150",1365516090,"GMT2484","NY","PAS","04/27/2000",14,"SUBN","VOLVO","P",18,18,18,940260,"0018","0000","1236A","","NY","O","621","W 48TH ST","BBBBBBB","ALL","ALL","BLK",2014
"152",1367960691,"51950MA","NY","COM","04/30/2000",18,"DELV","SMITH","P",14,14,406,924345,"0406","0000","0425P","","NY","F","319","W 42 ST","YYYYYBB","0400P","0700P","RD",2010
"154",1370653359,"49775MC","NY","COM","05/02/2000",46,"DELV","WO/CH","P",30,30,30,949523,"0030","0000","0205P","","NY","F","3550","BROADWAY","BBBBBBB","ALL","ALL","WH",2012
"158",1369484483,"25869MD","NY","COM","05/06/2000",46,"DELV","FORD","P",14,14,14,945546,"0014","0000","0805A","0805A","NY","","","W 31","BBBBBBB","ALL","ALL","WHITE",2012
